bioproject,sra_study,organism,n_runs,n_biosamples,case_only,control_only,ambiguous,unlabeled,n_smallrna,n_single_cell,n_tissue_relevant,srna_evidence_kinds,ad_terms,ctrl_terms,assay_types,median_readlen,total_gb,latest_release
PRJNA646349,SRP271972,Homo sapiens,492,240,82,364,0,46,492,0,492,[assay_declared],[dementia],[control],[miRNA-Seq],50,505.1,2020-11-05 00:00:00.000000 UTC
PRJEB52506,ERP137231,Homo sapiens,48,48,28,20,0,0,48,0,48,[assay_declared],[alzheimer],[control],[miRNA-Seq],51,1.0,2022-05-13 00:00:00.000000 UTC
PRJNA546262,SRP200404,Mus musculus,36,36,18,18,0,0,24,0,36,[assay_declared],[app/ps1],[wild type],"[RNA-Seq,ncRNA-Seq,miRNA-Seq]",300,109.7,2020-01-01 00:00:00.000000 UTC
PRJNA1079205,SRP490972,Homo sapiens,45,45,18,27,0,0,45,0,45,[assay_declared],[dementia],[negctrl],[ncRNA-Seq],60,10.9,2025-01-30 00:00:00.000000 UTC
PRJNA1162507,SRP533392,Mus musculus,30,30,15,15,0,0,30,0,30,[assay_declared],[5xfad],[wt],[ncRNA-Seq],101,46.0,2024-12-17 00:00:00.000000 UTC
PRJEB59990,ERP145031,Homo sapiens,45,45,33,12,0,0,45,0,45,[assay_declared],[dementia],[normal],[miRNA-Seq],50,6.6,2023-02-27 00:00:00.000000 UTC
PRJNA1333830,SRP626299,Homo sapiens,19,19,10,9,0,0,19,0,19,[assay_declared],[alzheimer],[control],[miRNA-Seq],76,1.5,2025-12-08 00:00:00.000000 UTC
PRJNA1221222,SRP562354,Homo sapiens,16,16,8,8,0,0,16,0,16,[assay_declared],[alzheimer],[control],[miRNA-Seq],27,12.2,2025-02-13 00:00:00.000000 UTC
PRJNA1470741,SRP703899,Mus musculus,16,16,8,8,0,0,16,0,16,[assay_declared],[ps19],[wt],[ncRNA-Seq],51,3.1,2026-06-18 00:00:00.000000 UTC
PRJNA1470739,SRP703904,Mus musculus,16,16,8,8,0,0,16,0,16,[assay_declared],[ps19],[wt],[ncRNA-Seq],51,3.1,2026-06-18 00:00:00.000000 UTC
PRJNA700664,SRP305366,Mus musculus,12,12,6,6,0,0,6,0,12,[assay_declared],[app/ps1],[wt],"[RNA-Seq,miRNA-Seq]",26,45.8,2022-07-29 00:00:00.000000 UTC
PRJNA1138662,SRP521327,Mus musculus,12,12,6,6,0,0,6,0,12,[assay_declared],[5xfad],[wt],"[RNA-Seq,ncRNA-Seq]",302,51.8,2024-10-22 00:00:00.000000 UTC
PRJNA851378,SRP382880,Mus musculus,12,12,6,6,0,0,12,0,12,[assay_declared],[5xfad],[wt],[ncRNA-Seq],300,39.9,2022-12-07 00:00:00.000000 UTC
PRJNA1216298,SRP560253,Mus musculus,12,12,6,6,0,0,12,0,12,[assay_declared],[e4fad],[wt],[miRNA-Seq],50,2.1,2025-08-20 00:00:00.000000 UTC
PRJNA1262979,SRP585255,Homo sapiens,14,14,8,6,0,0,14,0,0,[assay_declared],[alzheimer],[healthy],[ncRNA-Seq],100,66.0,2025-08-13 00:00:00.000000 UTC
PRJNA1177423,SRP540639,Mus musculus,28,28,4,14,0,10,28,0,7,[assay_declared],[p301s],[wt],[miRNA-Seq],76,25.0,2024-11-06 00:00:00.000000 UTC
PRJNA641912,SRP268848,Homo sapiens,10,10,6,4,0,0,10,0,10,[assay_declared],[alzheimer],[normal],[ncRNA-Seq],22,3.6,2020-10-28 00:00:00.000000 UTC
PRJNA931267,SRP420831,Homo sapiens,11,11,7,4,0,0,11,0,11,[assay_declared],[alzheimer],[normal],[miRNA-Seq],102,5.9,2026-02-02 00:00:00.000000 UTC
PRJEB48466,ERP132835,Homo sapiens,6,6,3,3,0,0,6,0,6,[assay_declared],[alzheimer],[normal],[miRNA-Seq],51,1.5,2022-04-01 00:00:00.000000 UTC
PRJEB49130,ERP133592,Homo sapiens,9,9,3,3,0,3,9,0,9,[assay_declared],[alzheimer],[normal],[miRNA-Seq],27,4.4,2022-01-30 00:00:00.000000 UTC
PRJNA1041717,SRP472505,Mus musculus,6,6,3,3,0,0,6,0,6,[assay_declared],[ps19],[wt],[ncRNA-Seq],50,1.0,2023-11-22 00:00:00.000000 UTC
PRJNA624143,SRP255898,Mus musculus,1152,1152,570,570,0,12,1152,0,746,[readlen_inferred],[5xfad],[wildtype],[RNA-Seq],43,15.0,2020-05-26 00:00:00.000000 UTC
PRJNA516886,SRP181886,Homo sapiens,289,289,219,70,0,0,289,0,0,[readlen_inferred],[alzheimer],[control],[RNA-Seq],50,164.8,2019-04-18 00:00:00.000000 UTC
PRJNA766717,SRP338995,Mus musculus,144,42,44,100,0,0,8,0,144,[readlen_inferred],[5xfad],[wt],[RNA-Seq],75,36.3,2021-11-02 00:00:00.000000 UTC
PRJNA505258,SRP168410,Homo sapiens,69,69,40,29,0,0,69,0,69,[readlen_inferred],[alzheimer],[control],[RNA-Seq],51,0.7,2018-12-26 00:00:00.000000 UTC
PRJNA554106,SRP214273,Mus musculus,48,48,24,24,0,0,48,0,48,[readlen_inferred],[5xfad],[wild-type],[RNA-Seq],51,24.6,2019-07-13 00:00:00.000000 UTC
PRJNA604773,SRP247152,Mus musculus,90,45,66,24,0,0,90,0,90,[readlen_inferred],"[app/ps1,p301l]",[wild type],[RNA-Seq],44,10.7,2020-11-25 00:00:00.000000 UTC
PRJNA201039,SRP022043,Homo sapiens,70,70,48,22,0,0,70,0,70,[library_declared],[alzheimer],[control],[RNA-Seq],50,33.8,2013-06-17 00:00:00.000000 UTC
PRJNA670004,SRP287832,Homo sapiens,90,90,69,21,0,0,89,0,90,[readlen_inferred],[alzheimer],[control],[RNA-Seq],28,5.0,2020-10-21 00:00:00.000000 UTC
PRJNA269577,SRP050894,Mus musculus,69,69,17,52,0,0,69,0,48,[readlen_inferred],[app/ps1],[wt],[RNA-Seq],50,70.3,2015-08-17 00:00:00.000000 UTC
PRJEB59991,ERP145032,Homo sapiens,49,49,33,15,1,0,49,0,49,[readlen_inferred],[dementia],"[control,normal]",[OTHER],31,12.2,2023-02-27 00:00:00.000000 UTC
PRJNA548198,SRP201011,Mus musculus,73,73,60,13,0,0,73,0,73,[readlen_inferred],[5xfad],[wt],[RNA-Seq],51,70.3,2019-06-12 00:00:00.000000 UTC
PRJNA813410,SRP362822,Mus musculus,58,58,12,12,0,34,34,0,58,[readlen_inferred],[p301s],[wt],[RNA-Seq],51,70.3,2022-03-14 00:00:00.000000 UTC
PRJNA532847,SRP192566,Mus musculus,25,25,11,14,0,0,25,0,0,[readlen_inferred],[p301s],[negctrl],[RNA-Seq],50,12.6,2019-07-28 00:00:00.000000 UTC
PRJNA343313,SRP090064,Mus musculus,19,19,11,8,0,0,19,0,19,[readlen_inferred],[5xfad],[wild-type],[RNA-Seq],51,14.9,2017-09-21 00:00:00.000000 UTC
PRJNA232671,SRP034829,Homo sapiens,17,17,9,8,0,0,6,0,17,[readlen_inferred],[alzheimer],[control],[RNA-Seq],101,8.2,2016-02-17 00:00:00.000000 UTC
PRJNA360252,SRP096116,Mus musculus,12,12,6,6,0,0,12,0,12,[readlen_inferred],[p301s],[negctrl],[RNA-Seq],50,6.1,2017-12-21 00:00:00.000000 UTC
PRJNA398039,SRP115309,Mus musculus,18,18,12,6,0,0,18,0,0,[readlen_inferred],[app-ps1],[wt],[RNA-Seq],50,8.1,2017-09-19 00:00:00.000000 UTC
PRJNA401661,SRP131333,Mus musculus,14,14,6,8,0,0,14,0,14,[readlen_inferred],[thy-tau22],[wt],[RNA-Seq],50,19.1,2018-11-06 00:00:00.000000 UTC
PRJNA1246633,SRP582553,Homo sapiens,38,38,10,6,0,22,1,0,0,[readlen_inferred],[amyloid],[healthy],"[RNA-Seq,OTHER]",118,439.4,2026-02-19 00:00:00.000000 UTC
PRJNA1280130,SRP593439,Mus musculus,23,23,11,6,0,6,23,0,23,[readlen_inferred],[nlgf],[wt],[RNA-Seq],50,25.7,2026-03-11 00:00:00.000000 UTC
PRJNA851593,SRP383012,Mus musculus,10,10,5,5,0,0,6,0,10,[readlen_inferred],[app/ps1],[wt],[RNA-Seq],50,16.3,2022-06-25 00:00:00.000000 UTC
PRJNA1043095,SRP473017,Mus musculus,19,19,9,5,0,5,19,0,19,[readlen_inferred],[app/ps1],[wt],[RNA-Seq],50,18.3,2023-11-30 00:00:00.000000 UTC
PRJNA295049,SRP063449,Homo sapiens,10,10,5,5,0,0,10,0,10,[readlen_inferred],[alzheimer],[control],[OTHER],51,9.0,2016-07-21 00:00:00.000000 UTC
PRJNA360248,SRP096113,Mus musculus,9,9,5,4,0,0,9,0,9,[readlen_inferred],[p301l],[wild type],[RNA-Seq],50,4.2,2017-12-21 00:00:00.000000 UTC
PRJNA738380,SRP324250,Mus musculus,16,16,8,4,0,4,16,0,16,[readlen_inferred],[5xfad],[wt],[RNA-Seq],50,8.5,2023-03-20 00:00:00.000000 UTC
PRJNA1138724,SRP521381,Mus musculus,9,9,6,3,0,0,9,0,9,[readlen_inferred],[app/ps1],[wild type],[RNA-Seq],50,9.6,2025-05-22 00:00:00.000000 UTC
PRJNA1304200,SRP607988,Homo sapiens,6,6,3,3,0,0,6,0,0,[readlen_inferred],[alzheimer],[healthy],[RNA-Seq],39,0.0,2026-03-31 00:00:00.000000 UTC
