bioproject,sra_study,organism,n_runs,n_biosamples,case_only,control_only,ambiguous,unlabeled,smaller_arm,n_assay_declared,n_library_declared,n_attr_mentioned,n_readlen_inferred,n_single_cell,n_tissue_relevant,srna_evidence_kinds,ad_terms,ctrl_terms,assay_types,median_readlen,gb_per_run,total_gb,latest_release
PRJNA646349,SRP271972,Homo sapiens,492,240,82,364,0,46,82,492,0,0,0,0,492,[assay_declared],[dementia],[control],[miRNA-Seq],50,1.027,505.1,2020-11-05 00:00:00.000000 UTC
PRJNA201039,SRP022043,Homo sapiens,70,70,48,22,0,0,22,0,70,0,0,0,70,[library_declared],[alzheimer],[control],[RNA-Seq],50,0.483,33.8,2013-06-17 00:00:00.000000 UTC
PRJNA1079205,SRP490972,Homo sapiens,45,45,18,27,0,0,18,45,0,0,0,0,45,[assay_declared],[dementia],[negctrl],[ncRNA-Seq],60,0.241,10.9,2025-01-30 00:00:00.000000 UTC
PRJNA1162507,SRP533392,Mus musculus,30,30,15,15,0,0,15,30,0,0,0,0,30,[assay_declared],[5xfad],[wt],[ncRNA-Seq],101,1.534,46.0,2024-12-17 00:00:00.000000 UTC
PRJEB59990,ERP145031,Homo sapiens,45,45,33,12,0,0,12,45,0,0,0,0,45,[assay_declared],[dementia],[normal],[miRNA-Seq],50,0.146,6.6,2023-02-27 00:00:00.000000 UTC
PRJNA1333830,SRP626299,Homo sapiens,19,19,10,9,0,0,9,19,0,0,0,0,19,[assay_declared],[alzheimer],[control],[miRNA-Seq],76,0.077,1.5,2025-12-08 00:00:00.000000 UTC
PRJNA1221222,SRP562354,Homo sapiens,16,16,8,8,0,0,8,16,0,0,0,0,16,[assay_declared],[alzheimer],[control],[miRNA-Seq],27,0.763,12.2,2025-02-13 00:00:00.000000 UTC
PRJNA1470741,SRP703899,Mus musculus,16,16,8,8,0,0,8,16,0,0,0,0,16,[assay_declared],[ps19],[wt],[ncRNA-Seq],51,0.191,3.1,2026-06-18 00:00:00.000000 UTC
PRJNA1470739,SRP703904,Mus musculus,16,16,8,8,0,0,8,16,0,0,0,0,16,[assay_declared],[ps19],[wt],[ncRNA-Seq],51,0.193,3.1,2026-06-18 00:00:00.000000 UTC
PRJNA1262979,SRP585255,Homo sapiens,14,14,8,6,0,0,6,14,0,0,0,0,0,[assay_declared],[alzheimer],[healthy],[ncRNA-Seq],100,4.716,66.0,2025-08-13 00:00:00.000000 UTC
PRJNA1216298,SRP560253,Mus musculus,12,12,6,6,0,0,6,12,0,0,0,0,12,[assay_declared],[e4fad],[wt],[miRNA-Seq],50,0.179,2.1,2025-08-20 00:00:00.000000 UTC
PRJNA700664,SRP305366,Mus musculus,12,12,6,6,0,0,6,6,0,0,0,0,12,[assay_declared],[app/ps1],[wt],"[RNA-Seq,miRNA-Seq]",26,3.816,45.8,2022-07-29 00:00:00.000000 UTC
PRJNA1177423,SRP540639,Mus musculus,28,28,4,14,0,10,4,28,0,0,0,0,7,[assay_declared],[p301s],[wt],[miRNA-Seq],76,0.892,25.0,2024-11-06 00:00:00.000000 UTC
PRJNA931267,SRP420831,Homo sapiens,11,11,7,4,0,0,4,11,0,0,0,0,11,[assay_declared],[alzheimer],[normal],[miRNA-Seq],102,0.536,5.9,2026-02-02 00:00:00.000000 UTC
PRJNA641912,SRP268848,Homo sapiens,10,10,6,4,0,0,4,10,0,0,0,0,10,[assay_declared],[alzheimer],[normal],[ncRNA-Seq],22,0.362,3.6,2020-10-28 00:00:00.000000 UTC
PRJEB49130,ERP133592,Homo sapiens,9,9,3,3,0,3,3,9,0,0,0,0,9,[assay_declared],[alzheimer],[normal],[miRNA-Seq],27,0.488,4.4,2022-01-30 00:00:00.000000 UTC
PRJEB48466,ERP132835,Homo sapiens,6,6,3,3,0,0,3,6,0,0,0,0,6,[assay_declared],[alzheimer],[normal],[miRNA-Seq],51,0.251,1.5,2022-04-01 00:00:00.000000 UTC
PRJNA1041717,SRP472505,Mus musculus,6,6,3,3,0,0,3,6,0,0,0,0,6,[assay_declared],[ps19],[wt],[ncRNA-Seq],50,0.159,1.0,2023-11-22 00:00:00.000000 UTC
