bioproject,sra_study,organism,cohort_line,tissue_verdict,n_prefrontal,n_hippocampal,n_brain_other,n_brain_any,n_csf,n_biofluid,n_cell_model,n_tissue_unannotated,n_tissue_other,tissue_attrs,smaller_arm,case_only,control_only,unlabeled,n_runs,n_biosamples,assay_types,median_readlen,gb_per_run,total_gb,latest_release,bioproject_url,run_selector_url
PRJEB59990,ERP145031,Homo sapiens,45 samples: 33 AD-like / 12 control,PREFRONTAL,45,0,0,45,0,0,0,0,0,organism_part_sam=frontal lobe,12,33,12,0,45,45,[miRNA-Seq],50,0.146,6.6,2023-02-27 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB59990,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=ERP145031
PRJNA641912,SRP268848,Homo sapiens,10 samples: 6 AD-like / 4 control,PREFRONTAL,10,0,0,10,0,0,0,0,0,"source_name_sam=prefrontal cortex, tissue_sam_ss_dpl145=prefrontal cortex",4,6,4,0,10,10,[ncRNA-Seq],22,0.362,3.6,2020-10-28 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA641912,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP268848
PRJNA1162507,SRP533392,Mus musculus,30 samples: 15 AD-like / 15 control,brain (other region),0,0,30,30,0,0,0,0,0,"source_name_sam=cortex, tissue_sam_ss_dpl145=cortex",15,15,15,0,30,30,[ncRNA-Seq],101,1.534,46.0,2024-12-17 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1162507,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP533392
PRJNA1333830,SRP626299,Homo sapiens,19 samples: 10 AD-like / 9 control,brain (other region),0,0,19,19,0,0,0,0,0,"cell_type_sam_ss_dpl37=mixed brain cells, source_name_sam=temporal superior t1 isocortex, tissue_sam_ss_dpl145=temporal superior t1 isocortex",9,10,9,0,19,19,[miRNA-Seq],76,0.077,1.5,2025-12-08 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1333830,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP626299
PRJNA1470739,SRP703904,Mus musculus,16 samples: 8 AD-like / 8 control,brain (other region),0,0,16,16,0,0,0,0,0,"source_name_sam=brain, tissue_sam_ss_dpl145=brain",8,8,8,0,16,16,[ncRNA-Seq],51,0.193,3.1,2026-06-18 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1470739,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP703904
PRJNA700664,SRP305366,Mus musculus,12 samples: 6 AD-like / 6 control,brain (other region),0,12,0,12,0,0,0,0,0,"source_name_sam=hippocampus, tissue_sam_ss_dpl145=hippocampus",6,6,6,0,12,12,"[RNA-Seq,miRNA-Seq]",26,3.816,45.8,2022-07-29 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA700664,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP305366
PRJNA1177423,SRP540639,Mus musculus,28 samples: 4 AD-like / 14 control / 10 other,brain (other region),0,7,5,12,0,0,0,0,16,"sample_type_sam_ss_dpl131=hippocampus taup301s mouse 1, sample_type_sam_ss_dpl131=hippocampus taup301s mouse 2, sample_type_sam_ss_dpl131=hippocampus taup301s mouse 3, sample_type_sam_ss_dpl131=hippocampus taup301s mouse 4, sample_type_sam_ss_dpl131=hippocampus wt mouse 1, sample_type_sam_ss_dpl131=hippocampus wt mouse 2",4,4,14,10,28,28,[miRNA-Seq],76,0.892,25.0,2024-11-06 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1177423,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP540639
PRJNA1079205,SRP490972,Homo sapiens,45 samples: 18 AD-like / 27 control,brain (other region),0,0,8,8,0,37,0,0,0,"brainid_sam=s00/036, brainid_sam=s00/097, brainid_sam=s00/282, brainid_sam=s01/194, brainid_sam=s01/216, brainid_sam=s02/008",18,18,27,0,45,45,[ncRNA-Seq],60,0.241,10.9,2025-01-30 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1079205,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP490972
PRJEB48466,ERP132835,Homo sapiens,6 samples: 3 AD-like / 3 control,brain (other region),0,0,6,6,0,0,0,0,0,"cell_line_sam=neuro-2a, cell_type_sam_ss_dpl37=neuroblast, organism_part_sam=brain",3,3,3,0,6,6,[miRNA-Seq],51,0.251,1.5,2022-04-01 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB48466,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=ERP132835
PRJNA1041717,SRP472505,Mus musculus,6 samples: 3 AD-like / 3 control,brain (other region),0,6,0,6,0,0,0,0,0,"source_name_sam=hippocampus, tissue_sam_ss_dpl145=hippocampus",3,3,3,0,6,6,[ncRNA-Seq],50,0.159,1.0,2023-11-22 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1041717,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP472505
