bioproject,sra_study,organism,cohort_line,tissue_verdict,n_prefrontal,n_hippocampal,n_brain_other,n_brain_any,n_csf,n_biofluid,n_cell_model,n_tissue_unannotated,n_tissue_other,tissue_attrs,smaller_arm,case_only,control_only,unlabeled,n_runs,n_biosamples,assay_types,median_readlen,gb_per_run,total_gb,latest_release,bioproject_url,run_selector_url,study_title,study_description,submitter,registration_date,project_data_type,title_mentions_alzheimer,title_mentions_mirna
PRJEB59990,ERP145031,Homo sapiens,45 samples: 33 AD-like / 12 control,PREFRONTAL,45,0,0,45,0,0,0,0,0,organism_part_sam=frontal lobe,12,33,12,0,45,45,[miRNA-Seq],50,0.146,6.6,2023-02-27 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB59990,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=ERP145031,smRNA-sequencing of human post-mortem brain tissue of the frontal lobe from patients with Frontotemporal Dementia and healthy controls,"Understanding the molecular mechanisms underlying frontotemporal dementia (FTD) is essential for the development of successful therapies. Systematic studies on human post-mortem brain tissue of patients with genetic subtypes of FTD are currently lacking. The Risk and Modyfing Factors of Frontotemporal Dementia (RiMod-FTD) consortium therefore has generated multi-omics datasets for genetic subtypes of FTD to identify common and distinct molecular mechanisms disturbed in disease. This experiment contains data from smRNA-sequencing of human post-mortem brain tissue of the frontal lobe from patients with FTD caused by mutations in GRN, MAPT or C9orf72 and healthy controls.",European Bioinformatics Institute,2/26/23 0:00,Other,TRUE,FALSE
PRJNA641912,SRP268848,Homo sapiens,10 samples: 6 AD-like / 4 control,PREFRONTAL,10,0,0,10,0,0,0,0,0,"source_name_sam=prefrontal cortex, tissue_sam_ss_dpl145=prefrontal cortex",4,6,4,0,10,10,[ncRNA-Seq],22,0.362,3.6,2020-10-28 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA641912,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP268848,Unique small RNA modifications in Alzheimer's disease,Human post-mortem brain samples from Alzheimer’s disease (AD) and control individuals were processed for small RNA-sequencing followed by comparative analyses Overall design: Small RNA sequencing (15-45 nt) were performed for human post-mortem brain samples (prefrontal cortex) from AD patient and control individuals.,"Division of Biomedical Sciences, School of Medicine, University of California, Riverside",6/25/20 0:00,Transcriptome or Gene expression,TRUE,TRUE
PRJNA1162507,SRP533392,Mus musculus,30 samples: 15 AD-like / 15 control,brain (other region),0,0,30,30,0,0,0,0,0,"source_name_sam=cortex, tissue_sam_ss_dpl145=cortex",15,15,15,0,30,30,[ncRNA-Seq],101,1.534,46,2024-12-17 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1162507,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP533392,PANDORA-seq uncovers sensitive mitochondrial small RNA alterations associated with increased lysosome activity in an Alzheimer’s Disease Mouse Model,"Emerging small noncoding RNAs (sncRNAs), including tRNA-derived small RNAs (tsRNAs) and rRNA-derived small RNAs (rsRNAs), are critical in diverse biological processes, such as neurological diseases. Traditional sncRNA-seq protocols often miss these sncRNAs due to their modifications. We have recently developed PANDORA-seq, a method enabling more comprehensive detection of modified sncRNAs by overcoming the RNA modifications. Using PANDORA-seq, we have revealed an updated sncRNA profile enriched by tsRNAs/rsRNAs in the mouse cortex and found a particularly significant downregulation of mitochondrial tsRNAs and rsRNAs in an Alzheimer's disease (AD) mouse model, compared to genomic tsRNAs and rsRNAs. Moreover, our integrated analysis of cortex gene expression and sncRNA profiles reveals that those downregulated mitochondrial sncRNAs are negatively correlated with enhanced lysosomal activity, suggesting a crucial interplay between mitochondrial RNA dynamics and lysosomal function in AD. Given the versatile tsRNA/tsRNA molecular actions in cellular regulation, our data provides insights for future mechanistic study of AD with potential therapeutic strategies. Overall design: Brain corte","Department of Human Genetics, university of utah",9/18/24 0:00,Transcriptome or Gene expression,TRUE,TRUE
PRJNA1333830,SRP626299,Homo sapiens,19 samples: 10 AD-like / 9 control,brain (other region),0,0,19,19,0,0,0,0,0,"cell_type_sam_ss_dpl37=mixed brain cells, source_name_sam=temporal superior t1 isocortex, tissue_sam_ss_dpl145=temporal superior t1 isocortex",9,10,9,0,19,19,[miRNA-Seq],76,0.077,1.5,2025-12-08 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1333830,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP626299,Differentially expressed miRNAs in the temporal cortex of Alzheimer’s disease patients and their association to tau pathology.,"Alzheimer's disease (AD) is a major contributor to dementia in the elderly, characterized by progressive impairments in memory and behaviour. AD is marked by pathological hallmarks: amyloid plaques and neurofibrillary tangles (NFTs). Despite extensive efforts to understand these hallmarks, there is still a lack of efficient therapeutic approaches due to limited knowledge of the fundamental cellular mechanisms underlying the disease. One potential avenue of research involves the investigation of the roles of non-coding RNAs, particularly, microRNAs (miRNAs), which bind to the 3' UTRs of target mRNAs to suppress expression. In our study, we analysed the temporal superior T1 isocortex of control and AD patients, identifying differentially expressed miRNAs using next-generation sequencing (NGS). To validate these findings, we utilized an additional technique, RT-qPCR. Overall, our study confirms the previous findings on the dysregulation of miR-129-5p, miR-132-3p, and miR-146b-5p, while also providing novel insights into the dysregulation of miR-151a-5p and miR-1-3p. Importantly, the expression levels of miR-129-5p, miR-146b-5p, miR-132-3p, and miR-151a-5p were significantly correlated","Alzheimer and Other Tauopathies Research Group, Université Libre de Bruxelles, Brussels, Belgium",9/24/25 0:00,Transcriptome or Gene expression,TRUE,TRUE
PRJNA1470739,SRP703904,Mus musculus,16 samples: 8 AD-like / 8 control,brain (other region),0,0,16,16,0,0,0,0,0,"source_name_sam=brain, tissue_sam_ss_dpl145=brain",8,8,8,0,16,16,[ncRNA-Seq],51,0.193,3.1,2026-06-18 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1470739,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP703904,Integration of Transcriptional Signatures from Brain Tissue and Plasma Extracellular Vesicles of a Preclinical Tauopathy Mouse Model [brain ncRNA-Seq],"Tauopathies, including Alzheimer’s disease, involve progressive neurodegeneration and sustained neuroinflammation. We present a multi-compartment transcriptomic atlas of 9.6-month-old PS19 tauopathy mice compared with wild-type (WT) controls (n=8/group), profiling cortical mRNA, cortical non-coding RNA (ncRNA), and plasma small extra-cellular vesicle (pEV) ncRNA. In the PS19 cortex, mRNA sequencing identified 917 dif-ferentially expressed genes (DEGs), with microglial deconvolution revealing a robust transition toward disease-associated microglia (DAM) gene signature and downregulation of genes involved in oxidative phosphorylation and cholesterol biosynthesis relative to WT. Cortical ncRNA profiling identified 466 differentially expressed ncRNAs, primarily circular RNAs (circRNAs; n=331). In pEVs, 822 ncRNAs were differentially abundant, of which 657 circRNAs were identified in PS19 compared to WT mice. Cross-compartment integration demonstrated that pEV miRNA gene targets functionally mirrored genes involved in the brain’s inflammatory and metabolic failure. We identified a core shared signature of 33 ncRNAs, including miR-5114 (up in brain, down in pEV), circ_0008242 and circ_00","Koldamova and Lefterov lab, Environmental and Occupational Health, University of Pittsburgh",5/26/26 0:00,Transcriptome or Gene expression,TRUE,TRUE
PRJNA700664,SRP305366,Mus musculus,12 samples: 6 AD-like / 6 control,brain (other region),0,12,0,12,0,0,0,0,0,"source_name_sam=hippocampus, tissue_sam_ss_dpl145=hippocampus",6,6,6,0,12,12,"[RNA-Seq,miRNA-Seq]",26,3.816,45.8,2022-07-29 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA700664,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP305366,Whole-transcriptomic analysis of circRNA-miRNA-mRNA ceRNA network in 4-month APP/PS1 mouse hippocampus,"Alzheimer’s disease (AD) is a progressive neurodegenerative disorder, and the molecular mechanisms of AD remain unclear. Accumulating evidence indicates the involvement of non-coding RNAs in AD pathogenesis. Here, we applied RNA-seq to explore the expression changes of circRNA, miRNA, and mRNA simultaneously, and investigate competing endogenous RNA (ceRNA) networks in hippocampus of 4-month APP/PS1 and wild-type mice. Overall design: Three male APP/PS1 (APPswe and PSEN1dE9) transgenic mice and three wild type littermates were used for RNA-seq.","Department of Laboratory Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",2/8/21 0:00,Transcriptome or Gene expression,TRUE,TRUE
PRJNA1177423,SRP540639,Mus musculus,28 samples: 4 AD-like / 14 control / 10 other,brain (other region),0,7,5,12,0,0,0,0,16,"sample_type_sam_ss_dpl131=hippocampus taup301s mouse 1, sample_type_sam_ss_dpl131=hippocampus taup301s mouse 2, sample_type_sam_ss_dpl131=hippocampus taup301s mouse 3, sample_type_sam_ss_dpl131=hippocampus taup301s mouse 4, sample_type_sam_ss_dpl131=hippocampus wt mouse 1, sample_type_sam_ss_dpl131=hippocampus wt mouse 2",4,4,14,10,28,28,[miRNA-Seq],76,0.892,25,2024-11-06 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1177423,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP540639,Distinct fingerprints of tRNA-derived small non-coding RNA in animal models of neurodegeneration,"Small RNA-seq of spinal cord from SOD1G93A and TDP43A315T mouse model of ALS, hippocampus from TauP301S mouse model of FTD and substantial nigra samples fromParkin KO PolgA mouse model of PD.",Royal College of Surgeons in Ireland (RCSI),10/24/24 0:00,Raw sequence reads,TRUE,TRUE
PRJNA1079205,SRP490972,Homo sapiens,45 samples: 18 AD-like / 27 control,brain (other region),0,0,8,8,0,37,0,0,0,"brainid_sam=s00/036, brainid_sam=s00/097, brainid_sam=s00/282, brainid_sam=s01/194, brainid_sam=s01/216, brainid_sam=s02/008",18,18,27,0,45,45,[ncRNA-Seq],60,0.241,10.9,2025-01-30 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1079205,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP490972,Pre-symptomatic qPCR blood test based on Parkinson’s disease-specific angiogenin-derived transfer RNA fragments,"Rapid, simple and reliable blood tests for Parkinson’s disease (PD) may enable pre-symptomatic diagnosis and facilitate disease-changing treatments. Here, we report escalated elevated levels of angiogenin-cleaved a disease specific group of nuclear genome-originated tRNA fragments (hereafter, PD-tRFs) carrying a unique seven-nucleotide motif in substantia nigra, cerebrospinal fluid and blood of PD patients. A blood test using RNA isolated from whole blood and dual multiplexl qPCR primers for PD-tRFs and mitochondrial-originated tRFs (MT-tRFs) successfully distinguished pre-symptomatic PD patients from controls, outperforming traditional clinical scoring (ROC-AUC of 0.86 vs. 0.73). Indicating relevance to disease symptoms, PD patients carrying GBA, SNCA or LRRK2 mutations presented elevated blood PD/MT-tRF ratios compared to mutations-carrying non-symptomatic individuals which indicates relevance to disease symptoms. Furthermore, PD-tRFs’ potential for ribosomal association predicted translational inhibition. Intriguingly, PD-tRFs levels declined both in patients’ blood following deep brain stimulation andas well as in in depolarized neuroblastoma cells where PD-tRFs presented trans",The Hebrew University of Jerusalem,2/22/24 0:00,Transcriptome or Gene expression,FALSE,FALSE
PRJEB48466,ERP132835,Homo sapiens,6 samples: 3 AD-like / 3 control,brain (other region),0,0,6,6,0,0,0,0,0,"cell_line_sam=neuro-2a, cell_type_sam_ss_dpl37=neuroblast, organism_part_sam=brain",3,3,3,0,6,6,[miRNA-Seq],51,0.251,1.5,2022-04-01 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB48466,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=ERP132835,miRNA sequencing of exosomes derived from N2A and APP-N2A cells,"APP misexpression plays a crucial role in triggering a complex pathological cascade, leading to Alzheimer’s disease (AD). The aim of this study is for determine the influence of APP ectopic expression on the miRNA profiles of neuronal exosomes. In study, miRNA sequencing was done using the exosomes derived from N2A (control) and APP-N2A (N2A with APP overexpression).",European Bioinformatics Institute,4/1/22 0:00,Other,TRUE,TRUE
PRJNA1041717,SRP472505,Mus musculus,6 samples: 3 AD-like / 3 control,brain (other region),0,6,0,6,0,0,0,0,0,"source_name_sam=hippocampus, tissue_sam_ss_dpl145=hippocampus",3,3,3,0,6,6,[ncRNA-Seq],50,0.159,1,2023-11-22 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1041717,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP472505,Z-RNA drives Tau-mediated neurodegeneration of Alzheimer’s disease [lncRNA-Seq],"Tau aggregates lead to progressive neurodegeneration in Alzheimer’s disease (AD) (ref). Neuron death is one of the hallmarks of neurodegeneration (ref). However, the pathological influence of neuronal death is undetermined, and the connection between Tau aggregates and neuronal death remains elusive. Here we demonstrated the essential role of neuron death in Tau-related neurodegeneration. Tau-neurons died in necroptosis, dependent on ZBP1 sensitized by Z-RNAs (an unusual left-handed conformation). Those endogenous Z-RNAs were transcripts of reactivated transposable elements (TEs) originally silenced in heterochromatin. Overall design: The expression profiling analysis of long noncoding RNAs for 9-month-old WT vs PS19 mice.(Three samples for each genotype)",Zhejiang University School of Medicine,11/17/23 0:00,Transcriptome or Gene expression,TRUE,TRUE
