verdict,bioproject,sra_study,organism,cohort_line,evidence,tissue_verdict,smaller_arm,n_target_runs,n_target_biosamples,n_runs_total,n_total_rna_random,n_long_read,n_long_inferred,n_polya_mrna,n_small_rna,n_rna_unspecified,n_not_rna,n_random_declared,n_ribodep_declared,n_random_text,n_priming_unspecified,n_prefrontal,n_hippocampal,n_brain_other,n_brain_any,n_csf,n_biofluid,n_cell_model,n_tissue_unannotated,tissue_attrs,case_only,control_only,ambiguous,unlabeled,target_selections,target_assay_types,target_platforms,target_instruments,target_library_names,ad_terms,ctrl_terms,median_target_readlen,target_gb,latest_release,bioproject_url,run_selector_url
PASSES - real contrast,PRJEB54589,ERP139418,Mus musculus,12 target samples: 12 AD-like / 12 control,libraryselection = RANDOM,brain (other region),12,24,12,24,24,0,0,0,0,0,0,24,0,0,0,0,24,0,24,0,0,0,0,"cell_type_sam_ss_dpl37=fibroblast, cell_type_sam_ss_dpl37=microglial cell, cell_type_sam_ss_dpl37=perivascular macrophage, experimental_factor__cell_type_exp=fibroblast, experimental_factor__cell_type_exp=microglial cell, experimental_factor__cell_type_exp=perivascular macrophage",12,12,0,0,[cDNA_randomPriming],[RNA-Seq],[ILLUMINA],[Illumina NovaSeq 6000],"[Sample 1_p,Sample 2_p,Sample 3_p,Sample 4_p,Sample 5_p,Sample 6_p,Sample 7_p,Sample 8_p]",[alzheimer],[normal],138,61.1,2024-07-26 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB54589,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=ERP139418
PASSES - real contrast,PRJNA720779,SRP314149,Homo sapiens,20 target samples: 10 AD-like / 10 control,libraryselection = RANDOM,brain (other region),10,20,20,20,20,0,0,0,0,0,0,20,0,0,0,0,0,20,20,0,0,0,0,"biomaterial_provider_sam=nsw brain tissue resource centre (nswbtrc), tissue_sam_ss_dpl145=precuneus, tissue_sam_ss_dpl145=primary visual cortex",10,10,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[Illumina HiSeq 2500],"[PREC_S11_control,PREC_S12_AD,PREC_S18_AD,PREC_S20_AD,PREC_S26_AD,PREC_S28_AD,PREC_S36_control,PREC_S43_control]",[alzheimer],[control],250,93.7,2021-04-09 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA720779,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP314149
PASSES - real contrast,PRJNA343313,SRP090064,Mus musculus,19 target samples: 11 AD-like / 8 control,libraryselection = RANDOM,brain (other region),8,19,19,19,19,0,0,0,0,0,0,19,0,0,0,0,19,0,19,0,0,0,0,"sample_type_sam_ss_dpl131=hippocampus tissue sample, tissue_sam_ss_dpl145=hippocampus",11,8,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[Illumina HiSeq 2000],"[y_NTg_HSP_5_Illumina_TruSeq,y_Tg_HSP_6_Illumina_TruSeq,y_Tg_NaCl_20_Illumina_TruSeq,y_NTg_NaCl_19_Illumina_TruSeq,y_Tg_NaCl_18_Illumina_TruSeq,y_NTg_HSP_10_Illumina_TruSeq,y_Tg_HSP_1_Illumina_TruSeq,y_Tg_HSP_2_Illumina_TruSeq]",[5xfad],[wild-type],51,14.9,2017-09-21 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA343313,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP090064
PASSES - real contrast,PRJNA1010141,SRP457268,Mus musculus,18 target samples: 12 AD-like / 6 control,libraryselection = RANDOM,brain (other region),6,18,18,18,18,0,0,0,0,0,0,18,0,0,0,0,18,0,18,0,0,0,0,tissue_sam_ss_dpl145=hippocampus,12,6,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[NextSeq 550],"[A1042,A1021,A1028,A1048,A1043,A1045,A1033,A1038]",[app/ps1],[wt],76,18.8,2023-08-30 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1010141,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP457268
PASSES - real contrast,PRJNA1086227,SRP494400,Mus musculus,12 target samples: 6 AD-like / 6 control,libraryselection = RANDOM,brain (other region),6,12,12,12,12,0,0,0,0,0,0,12,0,0,0,0,0,12,12,0,0,0,0,"biomaterial_provider_sam=inhee mook-jung, cell_type_sam_ss_dpl37=adult microglia, isolate_sam_ss_dpl100=brain microglia, tissue_sam_ss_dpl145=brain",6,6,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[Illumina HiSeq X],"[QNT0773,QNT0774,QNT0776,QNT0781,QNT0782,QNT0784,QNT0777,QNT0778]",[alzheimer],[wt],202,11.4,2025-05-01 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1086227,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP494400
PASSES - real contrast,PRJNA625487,SRP256460,Mus musculus,12 target samples: 6 AD-like / 6 control,free text only - VERIFY,brain (other region),6,12,12,12,12,0,0,0,0,0,0,0,0,12,0,0,0,12,12,0,0,0,0,"source_name_sam=p301l mouse (tg4510), source_name_sam=tau-12 ip rna from wt mouse (tg21221), source_name_sam=tau-ip ip rna from p301l mouse (tg4510), source_name_sam=wt mouse (tg21221), tissue_sam_ss_dpl145=brain",6,6,0,0,[cDNA],[RNA-Seq],[ILLUMINA],[Illumina NovaSeq 6000],[],[p301l],[wt],302,67.4,2021-04-06 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA625487,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP256460
PASSES - real contrast,PRJEB106899,ERP187944,Mus musculus,12 target samples: 6 AD-like / 6 control,libraryselection = RANDOM,brain (other region),6,12,12,12,12,0,0,0,0,0,0,12,0,0,0,0,12,0,12,0,0,0,0,"isolate_sam_ss_dpl100=not applicable, organism_part_sam=hippocampal formation",6,6,0,0,[cDNA_randomPriming],[RNA-Seq],[ILLUMINA],[Illumina NovaSeq 6000],"[S10_rTg4510_4M_356_p,S11_rTg4510_4M_357_p,S12_rTg4510_4M_358_p,S1_WT_2M_352_p,S2_WT_2M_360_p,S3_WT_2M_365_p,S4_WT_4M_284_p,S5_WT_4M_288_p]",[rtg4510],[wild type],202,29.5,2026-01-20 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB106899,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=ERP187944
PASSES - real contrast,PRJNA739253,SRP324683,Homo sapiens,12 target samples: 7 AD-like / 5 control,libraryselection = RANDOM,brain (other region),5,12,12,12,12,0,0,0,0,0,0,12,0,0,0,0,0,12,12,0,0,0,0,"isolate_sam_ss_dpl100=a032/13, isolate_sam_ss_dpl100=a046/18, isolate_sam_ss_dpl100=a053/11, isolate_sam_ss_dpl100=a092/15, isolate_sam_ss_dpl100=a134/00, isolate_sam_ss_dpl100=a139/00",7,5,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[Illumina NovaSeq 6000],"[S18,S11,S10,S3,S9,S17,S7,S8]",[alzheimer],[control],271,36.8,2022-09-28 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA739253,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP324683
PASSES - real contrast,PRJNA719114,SRP313263,Mus musculus,6 target samples: 3 AD-like / 3 control,long-read platform,brain (other region),3,6,6,6,0,6,0,0,0,6,0,0,0,0,6,0,6,0,6,0,0,0,0,"source_name_sam=hippocampus l+r, tissue_sam_ss_dpl145=hippocampus l+r",3,3,0,0,[cDNA],[RNA-Seq],[OXFORD_NANOPORE],"[PromethION,MinION]",[],[nl-g-f],[wt],524,18.0,2026-06-10 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA719114,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP313263
PASSES - real contrast,PRJNA1321933,SRP618471,Homo sapiens,829 target samples: 710 AD-like / 119 control,libraryselection = RANDOM,biofluid/CSF only,119,829,829,851,829,0,0,22,0,0,0,829,0,0,0,0,0,0,0,0,829,0,0,"biomaterial_provider_sam=weiner lab, brigham and women's hospital, cell_type_sam_ss_dpl37=b, cell_type_sam_ss_dpl37=cd4+ t, cell_type_sam_ss_dpl37=cd8+ t, cell_type_sam_ss_dpl37=classical monocytes, cell_type_sam_ss_dpl37=intermediate monocytes",710,119,0,0,[cDNA_randomPriming],[RNA-Seq],[ILLUMINA],[NextSeq 500],"[SK-5ABN_D01,SK-5ABN_D02,SK-5ABN_D03,SK-5ABN_D04,SK-5ABN_D07,SK-5ABN_D08,SK-5ABN_D09,SK-5ABN_D10]",[alzheimer],[control],76,162.7,2026-05-12 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1321933,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP618471
