verdict,bioproject,sra_study,organism,cohort_line,evidence,tissue_verdict,smaller_arm,n_target_runs,n_target_biosamples,n_runs_total,n_total_rna_random,n_long_read,n_long_inferred,n_polya_mrna,n_small_rna,n_rna_unspecified,n_not_rna,n_random_declared,n_ribodep_declared,n_random_text,n_priming_unspecified,n_prefrontal,n_hippocampal,n_brain_other,n_brain_any,n_csf,n_biofluid,n_cell_model,n_tissue_unannotated,tissue_attrs,case_only,control_only,ambiguous,unlabeled,target_selections,target_assay_types,target_platforms,target_instruments,target_library_names,ad_terms,ctrl_terms,median_target_readlen,target_gb,latest_release,bioproject_url,run_selector_url,study_title,study_description,submitter,registration_date,project_data_type,title_mentions_alzheimer,title_mentions_mirna
PASSES - real contrast,PRJEB54589,ERP139418,Mus musculus,12 target samples: 12 AD-like / 12 control,libraryselection = RANDOM,brain (other region),12,24,12,24,24,0,0,0,0,0,0,24,0,0,0,0,24,0,24,0,0,0,0,"cell_type_sam_ss_dpl37=fibroblast, cell_type_sam_ss_dpl37=microglial cell, cell_type_sam_ss_dpl37=perivascular macrophage, experimental_factor__cell_type_exp=fibroblast, experimental_factor__cell_type_exp=microglial cell, experimental_factor__cell_type_exp=perivascular macrophage",12,12,0,0,[cDNA_randomPriming],[RNA-Seq],[ILLUMINA],[Illumina NovaSeq 6000],"[Sample 1_p,Sample 2_p,Sample 3_p,Sample 4_p,Sample 5_p,Sample 6_p,Sample 7_p,Sample 8_p]",[alzheimer],[normal],138,61.1,2024-07-26 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB54589,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=ERP139418,"scRNA-seq study of hippocampal microglia, perivascular macrophages and perivascular fibroblasts in pre-plaque APP-KI mice","Aim of this experiment was to characterize whether SPP1 released from the hippocampal perivascular space could imprint microglia transcriptional states. We performed scRNA-seq analysis on sorted CD140a+ perivascular fibroblast (PVF), CD45highCD11intCD206+ perivascular macrophage (PVM) and CD45intCD11intCX3CR1high microglial cell from dissected hippocampi of 6-month old wild type vs SPP1KO/KO vs AppNL-F mice vs AppNL-FxSpp1KO/KO mice. Cells were isolated from dissected hippocampi as previously described (Sala Frigerio et al.,2019).",European Bioinformatics Institute,2022/12/09 00:00,Other,False,False
PASSES - real contrast,PRJNA720779,SRP314149,Homo sapiens,20 target samples: 10 AD-like / 10 control,libraryselection = RANDOM,brain (other region),10,20,20,20,20,0,0,0,0,0,0,20,0,0,0,0,0,20,20,0,0,0,0,"biomaterial_provider_sam=nsw brain tissue resource centre (nswbtrc), tissue_sam_ss_dpl145=precuneus, tissue_sam_ss_dpl145=primary visual cortex",10,10,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[Illumina HiSeq 2500],"[PREC_S11_control,PREC_S12_AD,PREC_S18_AD,PREC_S20_AD,PREC_S26_AD,PREC_S28_AD,PREC_S36_control,PREC_S43_control]",[alzheimer],[control],250,93.7,2021-04-09 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA720779,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP314149,Defining early changes in Alzheimer's disease from RNA sequencing of brain regions differentially affected by pathology,"Tau pathology in Alzheimer's disease (AD) spreads in a predictable pattern that corresponds with disease symptoms and severity. At post-mortem there are cortical regions that range from mildly to severely affected by tau pathology and neuronal loss. A comparison of the molecular signatures of these differentially affected areas within cases and between cases and controls may allow the temporal modelling of disease progression. Here we used RNA sequencing to explore differential gene expression in the mildly affected primary visual cortex and moderately affected precuneus of ten age-, gender- and RNA quality-matched post-mortem brains from AD patients and healthy controls. The two regions in AD cases had similar transcriptomic signatures but there were broader abnormalities in the precuneus consistent with the greater tau load. Both regions were characterised by upregulation of immune-related genes such as those encoding triggering receptor expressed on myeloid cells 2 and membrane spanning 4-domains A6A and milder changes in insulin/IGF1 signalling. The precuneus in AD was also characterised by changes in vesicle secretion and downregulation of the interneuronal subtype marker, som",The Unversity of Sydney,2021/04/09 00:00,Raw sequence reads,True,False
PASSES - real contrast,PRJNA343313,SRP090064,Mus musculus,19 target samples: 11 AD-like / 8 control,libraryselection = RANDOM,brain (other region),8,19,19,19,19,0,0,0,0,0,0,19,0,0,0,0,19,0,19,0,0,0,0,"sample_type_sam_ss_dpl131=hippocampus tissue sample, tissue_sam_ss_dpl145=hippocampus",11,8,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[Illumina HiSeq 2000],"[y_NTg_HSP_5_Illumina_TruSeq,y_Tg_HSP_6_Illumina_TruSeq,y_Tg_NaCl_20_Illumina_TruSeq,y_NTg_NaCl_19_Illumina_TruSeq,y_Tg_NaCl_18_Illumina_TruSeq,y_NTg_HSP_10_Illumina_TruSeq,y_Tg_HSP_1_Illumina_TruSeq,y_Tg_HSP_2_Illumina_TruSeq]",[5xfad],[wild-type],51,14.9,2017-09-21 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA343313,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP090064,Molecular mechanisms underlying neuroprotective effect of exogenous Hsp70 in aging and transgenic 5XFAD mice,"Heat shock protein 70, in humans encoded by the HSPA1A gene, is a key component of the machinery protecting the neuronal cells from various stress conditions whose production significantly declines in the course of aging. Herein, we investigated the protective effect of sub-chronic intranasal administration of exogenous Hsp70 on the state of neurons in the temporal cortex and areas of hippocampus of wild type and transgenic 5XFAD mice (model of Alzheimer’s disease) belonging to different age groups. The quantitative analysis of various pathologies in the compared groups revealed maximal level of abnormalities in brains of aged transgenic mice. Importantly, Hsp70 treatment had the most profound beneficial effect on neuron morphology and functional state especially in the hippocampal regions when applied to the aged transgenic mice. Hsp70 administration has clear-cut rejuvenation effect on the functional state of neurons when applied to non-transgenic aged mice as well. Similarly, the beneficial effect of the addition of eHsp70 to primary hippocampal cultures of 5XFAD animals strongly depends on the age of the cultures.Using deep sequencing we identified multiple differentially expre",Engelhardt Institute of Molecular Biology,2016/09/17 00:00,Raw sequence reads,True,False
PASSES - real contrast,PRJNA1010141,SRP457268,Mus musculus,18 target samples: 12 AD-like / 6 control,libraryselection = RANDOM,brain (other region),6,18,18,18,18,0,0,0,0,0,0,18,0,0,0,0,18,0,18,0,0,0,0,tissue_sam_ss_dpl145=hippocampus,12,6,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[NextSeq 550],"[A1042,A1021,A1028,A1048,A1043,A1045,A1033,A1038]",[app/ps1],[wt],76,18.8,2023-08-30 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1010141,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP457268,Neuroprotective Mechanisms of Amylin Receptor Activation in the Mouse Model of Alzheimers Disease,"Background: Amylin, a pancreatic amyloid peptide involved in energy homeostasis, is increasingly studied in the context of Alzheimers disease (AD) etiology. To date, conflicting pathogenic and neuroprotective roles for this peptide and its analogs for AD pathogenesis have been described. Objective: Whether the benefits of amylin are associated with peripheral improvement of metabolic tone/function or directly through the activation of central amylin receptors is also unknown and downstream signaling mechanisms of amylin receptors are major objectives of this study. Methods: To address these questions more directly we delivered the amylin analog pramlintide systemically (IP), at previously identified therapeutic doses, while centrally (ICV) inhibiting the receptor using an amylin receptor antagonist (AC187), at doses known to impact CNS function. Results: Here we show that pramlintide improved cognitive function independently of CNS receptor activation and provide transcriptomic data that highlights potential mechanisms. Furthermore, we show than inhibition of the amylin receptor increased amyloid-beta pathology in female APP PS1 mice, an effect than was mitigated by peripheral deli",Kent State University,2023/08/29 00:00,Raw sequence reads,True,False
PASSES - real contrast,PRJNA1086227,SRP494400,Mus musculus,12 target samples: 6 AD-like / 6 control,libraryselection = RANDOM,brain (other region),6,12,12,12,12,0,0,0,0,0,0,12,0,0,0,0,0,12,12,0,0,0,0,"biomaterial_provider_sam=inhee mook-jung, cell_type_sam_ss_dpl37=adult microglia, isolate_sam_ss_dpl100=brain microglia, tissue_sam_ss_dpl145=brain",6,6,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[Illumina HiSeq X],"[QNT0773,QNT0774,QNT0776,QNT0781,QNT0782,QNT0784,QNT0777,QNT0778]",[alzheimer],[wt],202,11.4,2025-05-01 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1086227,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP494400,STING blockade reverses Alzheimer's pathology in microglia.,"Abnormal glial activation accelerates Alzheimer's disease progression. Inhibiting STING activation controls microglia, alleviating AD symptoms. The cGAS-STING pathway detects ectopic DNA, triggering immune response. Amyloid beta and tau disrupt mitochondria, releasing DNA into microglial cytoplasm. STING is elevated in AD-related microglia, exacerbated by APOE epsilon 4 allele. STING activation drives microglial inflammation via NLRP3 and interferon responses. Pharmacological STING inhibition reduces AD pathology in mice, mitigating memory loss. In summary, targeting STING presents a promising therapeutic approach for AD.",Seoul National University,2024/03/11 00:00,Raw sequence reads,True,False
PASSES - real contrast,PRJNA625487,SRP256460,Mus musculus,12 target samples: 6 AD-like / 6 control,free text only - VERIFY,brain (other region),6,12,12,12,12,0,0,0,0,0,0,0,0,12,0,0,0,12,12,0,0,0,0,"source_name_sam=p301l mouse (tg4510), source_name_sam=tau-12 ip rna from wt mouse (tg21221), source_name_sam=tau-ip ip rna from p301l mouse (tg4510), source_name_sam=wt mouse (tg21221), tissue_sam_ss_dpl145=brain",6,6,0,0,[cDNA],[RNA-Seq],[ILLUMINA],[Illumina NovaSeq 6000],[],[p301l],[wt],302,67.4,2021-04-06 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA625487,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP256460,Tau aggregates are RNA-protein assemblies that mis-localize multiple nuclear speckle components,"We report the isolation and sequencing of tau aggregates from [1] HEK293 cells expressing Tau-RD-P301S-CFP/YFP that have been seeded with preformed fibrils from the brain of P301S mice (B6-Tg(Thy1-MAPT*P301S)2541; referred to as Tg2541 mice). Tau aggregates were isolated by differential centrifugation followed by fluorescence automated particle sorting using a BD FACSaraia. We found that these tau aggregates were enriched for particular small non-coding RNAs, including snoRNAs and snRNAs. [2] the following mice: FvBB6F1-Tg(Camk2a-tTa),(tetO-MAPT*wt)21221 (referred to as rTg21221 or WT tau mice in the paper) and FvBB6F1-Tg(Camk2a-tTA)1Mmay, (tet)-tdTomato-Syp/EGFP)1.1Luo/J,(tetO-MAPT*P301L)4510 (referred to as rTg4510 or P301L mice in the paper). Briefly, tau aggregates were isolated by 1% sarkosyl extraction (to enrich for insoluble proteins) followed by immunoprecipitation of tau using the tau-12 antibody (see Methods section of associated paper for further details). We found that these tau aggregates were enriched for particular small non-coding RNAs, including snRNAs and some snoRNAs. [3] Sequencing of HEK293 tau biosensor cells with and without tau aggregates reveals evidence o","Roy Parker, Biochemistry, University of Colorado",2020/04/15 00:00,Other,False,False
PASSES - real contrast,PRJEB106899,ERP187944,Mus musculus,12 target samples: 6 AD-like / 6 control,libraryselection = RANDOM,brain (other region),6,12,12,12,12,0,0,0,0,0,0,12,0,0,0,0,12,0,12,0,0,0,0,"isolate_sam_ss_dpl100=not applicable, organism_part_sam=hippocampal formation",6,6,0,0,[cDNA_randomPriming],[RNA-Seq],[ILLUMINA],[Illumina NovaSeq 6000],"[S10_rTg4510_4M_356_p,S11_rTg4510_4M_357_p,S12_rTg4510_4M_358_p,S1_WT_2M_352_p,S2_WT_2M_360_p,S3_WT_2M_365_p,S4_WT_4M_284_p,S5_WT_4M_288_p]",[rtg4510],[wild type],202,29.5,2026-01-20 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB106899,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=ERP187944,Transcriptomic landscape of the hippocampus in 2- and 4-month-old rTg4510 mice and wild-type littermates,"The objective of this study was to compare the hippocampal transcriptomic landscape of the rTg4510 mouse model of tauopathy (Tg) at two ages (2 and 4 months) with that of wild-type (WT) littermates at the same ages, and to assess age-related changes (2 vs 4 months) within each genotype. The rTg4510 line overexpresses a repressible form of human tau carrying the P301L mutation. Tau expression is controlled by a tetracycline-responsive element (tetO) and driven by a forebrain-specific transactivator under the CaMKIIα promoter. Mice were maintained without doxycycline. In the absence of doxycycline, tau expression is induced primarily in the hippocampus and cortex, leading to progressive tau pathology (including tau hyperphosphorylation and neurofibrillary tangle formation) and associated neurodegenerative phenotypes. Transcriptomic changes in the hippocampus during early disease evolution (2 vs 4 months) are still incompletely characterized. This dataset provides bulk hippocampal RNA-seq data to support the analysis of age- and genotype-associated molecular changes in this model.",European Bioinformatics Institute,2026/01/24 00:00,Other,True,False
PASSES - real contrast,PRJNA739253,SRP324683,Homo sapiens,12 target samples: 7 AD-like / 5 control,libraryselection = RANDOM,brain (other region),5,12,12,12,12,0,0,0,0,0,0,12,0,0,0,0,0,12,12,0,0,0,0,"isolate_sam_ss_dpl100=a032/13, isolate_sam_ss_dpl100=a046/18, isolate_sam_ss_dpl100=a053/11, isolate_sam_ss_dpl100=a092/15, isolate_sam_ss_dpl100=a134/00, isolate_sam_ss_dpl100=a139/00",7,5,0,0,[RANDOM],[RNA-Seq],[ILLUMINA],[Illumina NovaSeq 6000],"[S18,S11,S10,S3,S9,S17,S7,S8]",[alzheimer],[control],271,36.8,2022-09-28 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA739253,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP324683,A link between glycolysis and neurotransmission in Alzheimer's disease the role of gender and serine,"Healthy aging is an ambitious aspiration of human population although neurodegenerative disorders, such as Alzheimer's disease (AD), strongly affect the quality of life. We investigated by an integrated multi-omics approach the alterations in molecular composition of post-mortem hippocampus samples of healthy persons and AD patients. Severe differences were apparent comparing control male and female cohorts in terms of up- and downregulated metabolic pathways. Considering the AD condition, a different mechanism of activation of NMDA receptors between genders is disclosed: in females it is mainly due to the upregulation of the serine metabolism (linked to the glycolytic pathway and generating the NMDA receptor co-agonist D-serine), while in males it is mainly due to the arginine metabolism. These results show how AD condition changes, and for some respects almost reverses, the proteomic and metabolomic profile peculiar to males and females, highlighting that different pathophysiological mechanisms are active in males and females","ARGO Open Lab Platform for Genome sequencing, AREA Science Park, Padriciano, 99, 34149, Trieste, It",2021/06/19 00:00,Raw sequence reads,True,False
PASSES - real contrast,PRJNA719114,SRP313263,Mus musculus,6 target samples: 3 AD-like / 3 control,long-read platform,brain (other region),3,6,6,6,0,6,0,0,0,6,0,0,0,0,6,0,6,0,6,0,0,0,0,"source_name_sam=hippocampus l+r, tissue_sam_ss_dpl145=hippocampus l+r",3,3,0,0,[cDNA],[RNA-Seq],[OXFORD_NANOPORE],"[PromethION,MinION]",[],[nl-g-f],[wt],524,18.0,2026-06-10 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA719114,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP313263,Nanopore Direct RNA sequencing of mice hippocampal brain tissues,"Oxford Nanopore enables direct RNA sequencing allowing for base calling of RNA modifications. We tested mouse hippocampi RNA samples, using a Nanopore direct RNA-seq protocol that in addition to long poly A selected RNAs allows sequencing also of non-poly A RNAs as well as short RNAs < 200nt (including SINE B2 RNAs and other non poly A non coding RNAs). We provide here as a resource a direct RNA-sequencing dataset generated from mouse brain tissues that includes both mRNAs and non poly A or short non-coding RNAs such as SINEs. Elevated SINE B2 RNA Adenosine to Inosine editing is consistently observed across hippocampal tissues of a mouse model of amyloid beta accumulation compared to hippocampi of wild type animals. Nanopore direct RNA sequencing supports increased RNA modification signals at the sameSINE B2 RNA regions identified by short-read Illumina sequencing in these hippocampi. Overall design: In this study, we employed a transgenic mouse model of amyloid pathology, APP NL−G−F (APP) (Saito et al., 2014) and the respective wild type control C57BL/6J (WT). We have tested mice at the stage of symptom manifestation (that coincides with the active neurodegeneration phase and appe","Zovoilis Lab, Biochemistry and Medical Genetics, University of Manitoba",2021/04/01 00:00,Transcriptome or Gene expression,True,False
PASSES - real contrast,PRJNA1321933,SRP618471,Homo sapiens,829 target samples: 710 AD-like / 119 control,libraryselection = RANDOM,biofluid/CSF only,119,829,829,851,829,0,0,22,0,0,0,829,0,0,0,0,0,0,0,0,829,0,0,"biomaterial_provider_sam=weiner lab, brigham and women's hospital, cell_type_sam_ss_dpl37=b, cell_type_sam_ss_dpl37=cd4+ t, cell_type_sam_ss_dpl37=cd8+ t, cell_type_sam_ss_dpl37=classical monocytes, cell_type_sam_ss_dpl37=intermediate monocytes",710,119,0,0,[cDNA_randomPriming],[RNA-Seq],[ILLUMINA],[NextSeq 500],"[SK-5ABN_D01,SK-5ABN_D02,SK-5ABN_D03,SK-5ABN_D04,SK-5ABN_D07,SK-5ABN_D08,SK-5ABN_D09,SK-5ABN_D10]",[alzheimer],[control],76,162.7,2026-05-12 00:00:00.000000 UTC,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1321933,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP618471,Alzheimer's disease patients treatment with Protollin - phase I clinical trial,"Protollin, a nasal adjuvant, was evaluated in a randomized double-blind phase 1 study of 16 early Alzheimers disease (AD) patients to determine safety and to assess its immunomodulatory effects. In a double-blind dose escalation study, subjects received nasal Protollin at doses of 0.1mg, 0.5mg, 1.0mg and 1.5mg or placebo twice over a two-week period.",Brigham and Women`s Hospital,2025/09/09 00:00,Raw sequence reads,True,False
