priority,bioproject,category,organism,tissue,cases,controls,library_selection,selection_meaning,random_priming_declared,polya_selected,platform,instrument,median_read_len_bp,download_gb,study_title,caveat,bioproject_url
1,PRJNA720779,human brain,Homo sapiens,precuneus + primary visual cortex,10,10,RANDOM,random shearing only; no selection step declared,not declared (no selection step),no selection declared,ILLUMINA,Illumina HiSeq 2500,250,93.7,Defining early changes in Alzheimer's disease from RNA sequencing of brain regions differentially affected by pathology,"Early-affected and relatively spared regions in the same subjects, so region acts as an internal control. Closest match to the requested assay.",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA720779
2,PRJNA739253,human brain,Homo sapiens,cortex (region not in metadata),7,5,RANDOM,random shearing only; no selection step declared,not declared (no selection step),no selection declared,ILLUMINA,Illumina NovaSeq 6000,271,36.8,A link between glycolysis and neurotransmission in Alzheimer's disease the role of gender and serine,"Region stated only in the publication, not in the SRA attributes. Smaller and less balanced than PRJNA720779.",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA739253
3,PRJNA1482722,mouse model,Mus musculus,brain,24,22,Inverse rRNA,ribosomal RNA depleted by oligo hybridization,not declared (depletion method; random priming typical in practice),NO - rRNA-depleted total RNA,ILLUMINA,Illumina NovaSeq X Plus,300,168.7,Comparative Analysis of Transgenic AD Mouse Models,rRNA-depleted rather than poly(A) - the best library chemistry here for non-polyadenylated transcripts. Largest case/control contrast in the set. Mixed 5XFAD and APP/PS1.,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1482722
4,PRJNA1284072,mouse model,Mus musculus,locus coeruleus / olfactory,8,8,Inverse rRNA,ribosomal RNA depleted by oligo hybridization,not declared (depletion method; random priming typical in practice),NO - rRNA-depleted total RNA,ILLUMINA,NextSeq 550,148,24.0,Locus Coeruleus noradrenergic axon loss drives olfactory dysfunction in Alzheimer's disease,rRNA-depleted. App NL-G-F.,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1284072
5,PRJEB106899,mouse model,Mus musculus,hippocampus,6,6,cDNA_randomPriming,cDNA synthesised with random priming,YES - declared,no selection declared,ILLUMINA,Illumina NovaSeq 6000,202,29.5,Transcriptomic landscape of the hippocampus in 2- and 4-month-old rTg4510 mice and wild-type littermates,rTg4510 vs wild-type littermates at 2 and 4 months. Littermate controls.,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB106899
6,PRJNA894145,mouse model,Mus musculus,brain,6,6,RANDOM,random shearing only; no selection step declared,not declared (no selection step),no selection declared,ABI_SOLID,AB 5500 Genetic Analyzer,141,93.2,"3 and 16 month 3xTg AD mice, 3 and 16 month WT mice","3xTg vs WT at 3 and 16 months, so age is a second factor.",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA894145
7,PRJNA1086227,mouse model,Mus musculus,microglia (sorted),6,6,RANDOM,random shearing only; no selection step declared,not declared (no selection step),no selection declared,ILLUMINA,Illumina HiSeq X,202,11.4,STING blockade reverses Alzheimer's pathology in microglia.,"Sorted cell population, not bulk tissue. Intervention study (STING blockade) - confirm which arms form the AD/control contrast.",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1086227
8,PRJNA1010141,mouse model,Mus musculus,brain,12,6,RANDOM,random shearing only; no selection step declared,not declared (no selection step),no selection declared,ILLUMINA,NextSeq 550,76,18.8,Neuroprotective Mechanisms of Amylin Receptor Activation in the Mouse Model of Alzheimers Disease,Intervention study (amylin receptor agonist). 12 vs 6 includes treatment arms - confirm the contrast.,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1010141
9,PRJNA343313,mouse model,Mus musculus,brain,11,8,RANDOM,random shearing only; no selection step declared,not declared (no selection step),no selection declared,ILLUMINA,Illumina HiSeq 2000,51,14.9,Molecular mechanisms underlying neuroprotective effect of exogenous Hsp70 in aging and transgenic 5XFAD mice,Intervention study (exogenous Hsp70) in 5XFAD plus an aging arm. Confirm the contrast.,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA343313
10,PRJNA677972,mouse model,Mus musculus,cortex,3,6,RANDOM PCR,source material selected by randomly generated primers,YES - declared,no selection declared,BGISEQ,BGISEQ-500,100,31.4,Transcriptomic and Translatomic of brain cortex in mice AD models,"Runs and biosamples disagree (24 runs, 4 target biosamples) - transcriptomic plus translatomic arms. Verify the design before use.",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA677972
11,PRJNA719114,mouse long-read,Mus musculus,hippocampus,3,3,cDNA,cDNA; no selection or priming declared,not applicable (ONT direct RNA - no reverse transcription),YES - ONT direct RNA is poly(A)-tethered,OXFORD_NANOPORE,"PromethION,MinION",524,18.0,Nanopore Direct RNA sequencing of mice hippocampal brain tissues,"Oxford Nanopore DIRECT RNA (no reverse transcription). Note: ONT direct-RNA kits ligate to the poly(A) tail, so non-polyadenylated ncRNA is still not captured. n=3 vs 3.",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA719114
